,roles,companies,locations,experience,skills
0,"Data Scientist, Marketing",Coursera,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-6 Yrs,Data analysisdata scienceTroubleshootingAnalyticsMonitoringSQLPythonSalesforce
1,Hexaware_ Looking Immediate joiners -Data Scientist NLP/GenAI_PanIndia,Hexaware Technologies,"Hybrid - Navi Mumbai, Pune, Chennai",4-9 Yrs,GenAILLMData ScientistTransformersBertMachine LearningDeep LearningData Science
2,Data Scientist-Senior Associate - P&T Labs,PwC Service Delivery Center,"Mumbai, Hyderabad, Bengaluru",4-6 Yrs,AutomationGCPAnalyticalProcess improvementMachine learningSignal processingData miningSQL
3,Data Scientist - CROCI Investment Strategy,Deutsche Bank,Mumbai,3-5 Yrs,Python programmingC#MatplotlibJavaInvestment StrategyVBAportfolio returns analysisData Scientist
4,Adobe Analytics,PwC Service Delivery Center,Bangalore Rural,2-4 Yrs,Adobe LaunchJavascriptAepLaunchAdobeAdobe AnalyticsAnalytics
5,Data Scientist,Ericsson,Bengaluru,0-3 Yrs,Data analysisData validationCodingNeural networksMachine learningData qualityForecastingSQL
6,Sr. Data Scientist,Visa,Bengaluru,0-3 Yrs,Computer scienceOperations researchBusiness analyticsAnalyticalPredictive modelingBusiness solutionsFinancial servicesProduct marketing
7,Data Scientist,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Project developmentMatrixProduction supportComplianceKPIMentorsoftware qualityTechnical documentation
8,Data Scientist,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,time series analysisbayesianpythondata analysisnatural language processingprobabilisticlinear regressionmarket mix modelling
9,Data Scientist,Tech Mahindra,"Hybrid - Hyderabad, Pune, Bengaluru",6-10 Yrs,ML EngineerDeep learningGenerarative AIGenAIMLopsML OpsNatural Language ProcessingCloud
10,Data Science Engineer,Futran Tech Solutions,"Hybrid - Noida, Pune, Bangalore Rural, Chennai, Mumbai (All Areas)",6-9 Yrs,Data ScienceGen AINLPMachine LearningPythonScienceMachineArtificial Intelligence
11,Data Scientist,Tata Nexarc,"Mumbai, Pune",3-6 Yrs,data scienceAnalyticalMachine learningdata visualizationBusiness intelligenceData miningAnalyticsSQL
12,Senior Data Scientist,Bahwan CyberTek,"Hybrid - Pune, Chennai, Bengaluru",5-10 Yrs,Machine LearningPythonSQLGen AITransformationEDAData CleansingData Mining
13,Data Scientist - Senior Associate,PwC Service Delivery Center,"Mumbai, Hyderabad, Bengaluru",3-8 Yrs,deep learningData analysisLeadership developmentNoSQLProduct innovationMachine learningAgileCosmos
14,Data Scientist,Orange Business Services,Mumbai,4-5 Yrs,Cluster analysisAutomationOperations researchAnalyticalMachine learningNatural language processingdelivery operationsSQL
15,Lead Data Scientist,Baker Hughes,Bengaluru,9-14 Yrs,Data analysisArtificial IntelligenceSignal processingAgileManager TechnologyIndustrial engineeringdigital strategyAnalytics
16,Data Scientist,Siemens,Bengaluru,2-3 Yrs,BackendGITCodingMachine learningHealthcareData qualityMonitoringSQL
17,"SENIOR, DATA SCIENTIST (Computer Vision)",Walmart,Bengaluru,6-9 Yrs,Computer visionAnalyticalMachine learningSupply chain operationsSEZManager Quality ControlInformation technologyMonitoring
18,Senior Data Scientist,Walmart,Bengaluru,10-20 Yrs,Supply chainData analysisdata scienceNetworkingCodingAnalyticalForecastingAnalytics
19,Data Scientist,Volvo Financial Services,Bengaluru,3-6 Yrs,AutomationC++PowertrainMechatronicsSimulationConstruction equipmentSimulinkMATLAB
20,"Data Scientist, Marketing",Coursera,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-6 Yrs,Data analysisdata scienceTroubleshootingAnalyticsMonitoringSQLPythonSalesforce
21,Hexaware_ Looking Immediate joiners -Data Scientist NLP/GenAI_PanIndia,Hexaware Technologies,"Hybrid - Navi Mumbai, Pune, Chennai",4-9 Yrs,GenAILLMData ScientistTransformersBertMachine LearningDeep LearningData Science
22,Data Scientist-Senior Associate - P&T Labs,PwC Service Delivery Center,"Mumbai, Hyderabad, Bengaluru",4-6 Yrs,AutomationGCPAnalyticalProcess improvementMachine learningSignal processingData miningSQL
23,Data Scientist - CROCI Investment Strategy,Deutsche Bank,Mumbai,3-5 Yrs,Python programmingC#MatplotlibJavaInvestment StrategyVBAportfolio returns analysisData Scientist
24,Adobe Analytics,PwC Service Delivery Center,Bangalore Rural,2-4 Yrs,Adobe LaunchJavascriptAepLaunchAdobeAdobe AnalyticsAnalytics
25,Data Scientist,Ericsson,Bengaluru,0-3 Yrs,Data analysisData validationCodingNeural networksMachine learningData qualityForecastingSQL
26,Sr. Data Scientist,Visa,Bengaluru,0-3 Yrs,Computer scienceOperations researchBusiness analyticsAnalyticalPredictive modelingBusiness solutionsFinancial servicesProduct marketing
27,Data Scientist,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Project developmentMatrixProduction supportComplianceKPIMentorsoftware qualityTechnical documentation
28,Data Scientist,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,time series analysisbayesianpythondata analysisnatural language processingprobabilisticlinear regressionmarket mix modelling
29,Data Scientist,Tech Mahindra,"Hybrid - Hyderabad, Pune, Bengaluru",6-10 Yrs,ML EngineerDeep learningGenerarative AIGenAIMLopsML OpsNatural Language ProcessingCloud
30,Data Science Engineer,Futran Tech Solutions,"Hybrid - Noida, Pune, Bangalore Rural, Chennai, Mumbai (All Areas)",6-9 Yrs,Data ScienceGen AINLPMachine LearningPythonScienceMachineArtificial Intelligence
31,Data Scientist,Tata Nexarc,"Mumbai, Pune",3-6 Yrs,data scienceAnalyticalMachine learningdata visualizationBusiness intelligenceData miningAnalyticsSQL
32,Senior Data Scientist,Bahwan CyberTek,"Hybrid - Pune, Chennai, Bengaluru",5-10 Yrs,Machine LearningPythonSQLGen AITransformationEDAData CleansingData Mining
33,Data Scientist - Senior Associate,PwC Service Delivery Center,"Mumbai, Hyderabad, Bengaluru",3-8 Yrs,deep learningData analysisLeadership developmentNoSQLProduct innovationMachine learningAgileCosmos
34,Data Scientist,Orange Business Services,Mumbai,4-5 Yrs,Cluster analysisAutomationOperations researchAnalyticalMachine learningNatural language processingdelivery operationsSQL
35,Lead Data Scientist,Baker Hughes,Bengaluru,9-14 Yrs,Data analysisArtificial IntelligenceSignal processingAgileManager TechnologyIndustrial engineeringdigital strategyAnalytics
36,Data Scientist,Siemens,Bengaluru,2-3 Yrs,BackendGITCodingMachine learningHealthcareData qualityMonitoringSQL
37,"SENIOR, DATA SCIENTIST (Computer Vision)",Walmart,Bengaluru,6-9 Yrs,Computer visionAnalyticalMachine learningSupply chain operationsSEZManager Quality ControlInformation technologyMonitoring
38,Senior Data Scientist,Walmart,Bengaluru,10-20 Yrs,Supply chainData analysisdata scienceNetworkingCodingAnalyticalForecastingAnalytics
39,Data Scientist,Volvo Financial Services,Bengaluru,3-6 Yrs,AutomationC++PowertrainMechatronicsSimulationConstruction equipmentSimulinkMATLAB
40,Senior Data Scientist,Siemens,Bengaluru,3-8 Yrs,Business servicesOperations researchSAPAnalyticalMachine learningBusiness process managementOracleBioinformatics
41,Data Scientist III,Inmobi,Bengaluru,4-7 Yrs,Product engineeringScientist IIICodingMachine learningConceptualizationAgileProduct designAnalytics
42,Data Scientist,Wabtec India Technology And Engineering Center,Bengaluru,3-8 Yrs,MiningComputer scienceAutomationSoftware designLinuxCodingAnalyticalMySQL
43,Urgent opportunity of Data Scientist,Airtel,"Gurugram, Bengaluru",4-7 Yrs,Speech Recognitionconversational AINatural Language Processingvoice-botDeep LearningSpeechDataProcess
44,Staff Data Scientist,Walmart,Bengaluru,5-8 Yrs,Computer scienceComputer visionPrototypeNetworkingNeural networksConsultingMachine learningContinuous improvement
45,Staff Data Scientist,Walmart,Bengaluru,10-12 Yrs,Computer scienceComputer visionPrototypeNetworkingNeural networksConsultingMachine learningContinuous improvement
46,Senior Data Scientist,Walmart,Bengaluru,6-8 Yrs,Computer scienceComputer visionPrototypeNetworkingNeural networksMachine learningContinuous improvementInformation technology
47,Principal Data Scientist,Walmart,Bengaluru,10-12 Yrs,Computer scienceComputer visionPrototypeNetworkingConsultingMachine learningData qualityContinuous improvement
48,Sr. Data Scientist - ML Ops,Visa,Bengaluru,4-8 Yrs,Preditive modelingData analysisLinuxData ingFinanial serviesContinuous improvementMonitoringLogisti regression
49,Manager / Principal Specialist Data Scientist,"Wood Group Pratt & Whitney Industrial Turbine Services, LLC",Bengaluru,11-17 Yrs,hivegas turbinepythonstatistical techniquespower biengineeringcloud deploymentmachine learning
50,Sr . Data Scientist / Manager,Novitas Infotech,"Noida, Gurugram, Bengaluru",7-10 Yrs,customer analyticsSocial mediaAgileCustomer serviceData miningAnalyticsSQLPython
51,Data Scientist,Novitas Infotech,"Noida, Gurugram, Bengaluru",3-7 Yrs,customer analyticsSocial mediaAgileCustomer serviceData miningAnalyticsSQLPython
52,Data Scientist,Nestle,Bengaluru,2-4 Yrs,algorithmspythonmodelingdata analysisdata analyticsnatural language processingpredictivemachine learning
53,Senior Data Scientist,Capco,Bengaluru,6-11 Yrs,Relationship managementData analysisBusiness analysisMachine learningAgileAsset managementAnalyticsFinancial services
54,Staff data scientist,Walmart,Bengaluru,9-10 Yrs,deep learningdata scienceWeb analyticsConsultingMachine learningSEZResearchbig data
55,Data Scientist,Ericsson,Noida,3-7 Yrs,Data managementArtificial IntelligenceMachine learningCloudProgrammingBusiness intelligenceOpen sourceAnalytics
56,SAS Data Scientist,Lericon Informatics,"Mumbai, Bengaluru, Delhi / NCR",2-6 Yrs,data miningVisual Analyticsdata analysisadvanced statisticsSASData ScientistR ProgrammingSPSS
57,Manager - Infotech (Data Scientist),Lupin,Mumbai,6-11 Yrs,Pilotadvanced analyticsPrototypeSimulationBusiness designMachine learningmodel developmentOperations
58,Manager - Infotech (Data Scientist),Lupin,Mumbai,5-10 Yrs,Pilotadvanced analyticsPrototypeSimulationMachine learningmodel developmentOperationsManagement
59,Manager - Infotech (Data Scientist),Lupin,Mumbai,5-10 Yrs,advanced analyticsdeep learningPrototypeSimulationMachine learningAgileOperationsAnalytics
60,Lead Data Science,IKS HEALTH,Remote,6-11 Yrs,PythonTensorflowCnnnlprnnLstmNatural Language ProcessingMachine Learning
61,Assistant CMI Manager - Data Scientist,Hindustan Unilever (HUL),Mumbai,2-6 Yrs,data scienceCodingMachine learningdata visualizationDigital marketingEconometricsOpen sourceAnalytics
62,Principal AI Scientist,Pristine Infotech,"Mumbai, Chennai",3-7 Yrs,MiningSupply chainComputer scienceLogistic regressionRFBusiness analysisBusiness planningResearch
63,Manager - Senior Data Scientist,Visa,Mumbai,5-10 Yrs,data scienceCodingConsultingManager Quality ControlRisk managementPortfolio managementAnalyticsSQL
64,A&A -Sr. Data Scientist - AI POD,Deloitte,Bengaluru,3-7 Yrs,Data ScienceAzure MLNLPGitHubPandasJiraAzure DevOpsNumPy
65,Data Scientist (Analytics),Philips,Bengaluru,4-8 Yrs,Data analysisdata scienceBusiness analyticsAnalyticalDiversity and InclusionMachine learningHealthcareOperations
66,Data Scientist - AI / ML,Philips,Bengaluru,4-8 Yrs,EMIComputer visionC++Image processingDiagnosticsHealthcareEMCMATLAB
67,Data Scientist,HP India,Bengaluru,4-8 Yrs,Data Sciencearimadeep learningpythonrregression analysispower birandom forest
68,Data Scientist II,Honeywell,Bengaluru,4-6 Yrs,SQL queriestableauAnalyticalpower biData analyticsAnalyst IIScientist IIPython
